Id,User,Created,Tweet,Description,Location
1338453515782430724,heyzatt,2020-12-14 11:59:20,"RT @Adxm_harry: Apa itu ""Anxiety Disorder""?

(Thread)",lebih suka tidur berbanding awak,
1338453515774140418,raggapegs,2020-12-14 11:59:20,I'm not being served right now. #YouTubeDOWN https://t.co/emKeQBcufa,"What gets us into trouble is not what we don't know, it's what we know for sure that just ain't so. ~ Mark Twain  #Resist",
1338453515773984770,noonaapcy,2020-12-14 11:59:20,"@zyaeri614 LET'S WORK HARD FOR EXO

#EXOLvoteSMA_GDA
#엑소엘_서가대골디_투표하자
#EXO #엑소 @weareoneEXO
@B_hundred_Hyun @layzhang","#朴灿烈 𝖼𝗋𝖾𝖾𝗉𝗂𝗇’ 𝖽𝖺𝗋𝗄 𝖓𝖎𝖌𝖍𝖙, 𝗌𝗍𝖺𝗂𝗇𝗂𝗇’ 𝗆𝗒 𝗌𝗈𝗎𝗅 ⛓
                          ꒰@weareoneEXO꒱ᵐʸ ᵒᵗ⁹.°",EXO PLANET 
1338453515769884673,salsberry_alex,2020-12-14 11:59:20,@lifeofLexNicole Yaaasss queen. This is what you deserve. Never forget this❤,she’s badass with a big heart. Oncology Infusion RN.,"Manson, IA"
1338453515765739521,amnreh,2020-12-14 11:59:20,RT @shabrinareads: Expectation                          Reality https://t.co/u9u9x5ZlDs,idc and idc that idc,azkaban
1338453515761434624,retnoirfianti,2020-12-14 11:59:20,"RT @fluffshyunie: hyunjin: fixing                stray kids:
     his hair https://t.co/TDllBNc92P","I want to be with you to the place where the sea sleeps🌱
Forget me not, Sing me🌸
✨sofun and santuy✨                                  👁u dont see me👁",Indonesia 
1338453515757379585,EZPZMonies,2020-12-14 11:59:20,YouTube down. https://t.co/TtyrXlPgf9,Bank Manager. Investor.,"London, England"
1338453515753062401,WantoSaputro,2020-12-14 11:59:20,"@Info_SerieA M City
Bayern 
Atletico
Liverpool
Juventus
Paris
Dortmund
Real Madrid",,"Surakarta, Jawa Tengah"
1338453515753017344,saini4281,2020-12-14 11:59:20,RT @wetwokrishna: #we are with our PM🌹👍 https://t.co/wVSq8lR7wI,"I am a 62 years old retired banker.My current residence is at B290,Shanti nagar=B,Gujar ki thadi,Jaipur=302019",JAIPUR[RAJ]INDIA
1338453515748990978,KostasmerG,2020-12-14 11:59:20,@MidasRex2 Oh thank you very much.I haven't draw for 4 years and because I was bored I thought it would be cool to draw something.,"hello to my Twitter page 
in this page you will see every fortnite and brawl stars news
:)


pfp madey by:#DreamGamingDK",
1338453515748794371,rockqueen,2020-12-14 11:59:20,"RT @ChampionsLeague: Round of 16 draw ✔️

Which tie are you most excited for? 🤩

#UCLdraw | #UCL https://t.co/M6AqMYTygN",24 HOUR PARTY FUJI ROCKER/好みのタイプはルパン三世,はざまの世界
1338453515744763905,JabrFN,2020-12-14 11:59:20,"RT @lAbdulelahl: a clutch..

#WeArePOWR 
@POWReSports https://t.co/0vP6To3Lh1","Fortnite player , Playing for @POWResports",Al Khobar
1338453515744628741,HIKORIDIKORIOO_,2020-12-14 11:59:20,"RT @wonungina: 50 gcash 💸

— follow me
— retweet &amp; reply anything

ends when I get back, brb!!","never stop joining 🍀✨ @hikoridikorio20 backup acc
 #GhostedByCashper 👻",
1338453515740590081,saharaguts,2020-12-14 11:59:20,"RT @MayaOppenheim: EXCL: ‘Turmoil and distress’: Reports to revenge porn helpline double during pandemic as millions go online
https://t.co…","contrarian, bon viveur, aesthete, monsieur sympatico adagio",
